Frame,Tipo_objeto,Confianza,ID_Tracking,x1,y1,x2,y2,Matrícula,Confianza_Matrícula,mx1,my1,mx2,my2,Texto_Matrícula
1021,car,0.79,22,1003,291,1162,416,1,0.30,45,85,85,96,1
1022,car,0.79,22,994,289,1162,418,IQUL,0.07,48,88,90,100,IQUL
1023,car,0.82,22,989,290,1159,421,TE,0.12,49,88,91,101,TE
1023,car,0.88,26,1396,323,1541,419,494,0.02,76,62,108,70,494
1024,car,0.80,22,985,291,1158,422,8321Z7,0.10,47,88,90,100,8321Z7
1025,car,0.82,22,978,290,1155,424,ILIG,0.08,49,90,92,103,ILIG
1026,car,0.80,22,971,288,1152,426,IE,0.04,50,94,94,107,IE
1027,car,0.85,22,965,287,1150,428,151453,0.18,47,96,95,110,151453
1028,car,0.88,22,958,286,1148,431,K,0.23,47,98,97,113,K
1029,car,0.85,22,950,285,1145,433,00,0.24,50,102,99,117,00
1030,car,0.84,22,944,285,1142,437,B3G5,0.06,48,104,98,119,B3G5
1031,car,0.86,22,935,285,1140,440,I1,0.17,49,106,101,121,I1
1032,car,0.82,22,926,284,1137,442,CETEG,0.14,51,109,103,124,CETEG
1033,car,0.76,22,917,283,1134,445,EOSCLE5,0.04,52,112,105,127,EOSCLE5
1034,car,0.74,22,908,283,1131,449,TZ5,0.11,52,113,107,131,TZ5
1035,car,0.63,22,897,282,1129,453,E,0.07,54,116,111,135,E
1036,car,0.87,22,886,282,1126,458,3,0.07,55,119,113,136,3
1037,car,0.89,22,874,281,1122,461,103085,0.14,58,123,117,140,103085
1038,car,0.88,22,864,281,1117,465,103010,0.21,58,125,118,142,103010
1039,car,0.90,22,852,280,1112,468,I2E73,0.04,58,128,120,146,I2E73
1040,car,0.91,22,838,280,1107,472,2481C5,0.14,61,131,124,149,2481C5
1041,car,0.91,22,824,280,1103,477,Q2325,0.12,60,133,128,153,Q2325
1042,car,0.90,22,808,279,1098,482,QZZG,0.08,62,137,131,157,QZZG
1043,car,0.88,22,794,278,1092,487,I0CG,0.09,63,141,132,163,I0CG
1044,car,0.88,22,777,276,1087,493,W231CG,0.04,65,147,137,168,W231CG
1045,car,0.89,22,760,276,1082,499,4208C,0.14,64,152,141,173,4208C
1046,car,0.89,22,742,273,1075,506,40ZE,0.02,65,159,144,181,40ZE
1047,car,0.90,22,723,272,1068,512,L30CG,0.08,65,165,145,188,L30CG
1048,car,0.91,22,701,271,1063,519,121ZCR,0.15,67,171,151,194,121ZCR
1049,car,0.92,22,678,268,1055,526,420CG,0.42,69,180,154,204,420CG
1050,car,0.92,22,652,266,1047,533,Z3EEE,0.10,72,187,160,212,Z3EEE
1051,car,0.92,22,625,265,1040,542,1ZDNEG,0.06,72,194,165,221,1ZDNEG
1052,car,0.93,22,595,262,1032,554,4202,0.09,73,204,171,231,4202
1053,car,0.93,22,563,261,1022,564,122E3,0.26,73,212,176,240,122E3
1054,car,0.93,22,527,258,1012,576,32E,0.05,76,222,182,252,32E
1055,car,0.93,22,489,257,1002,586,32881,0.10,76,231,189,262,32881
1059,car,0.93,22,287,244,952,653,0S842,0.14,75,291,214,332,0S842
1241,car,0.90,31,1609,332,1919,514,UE3,0.11,236,120,308,140,UE3
1244,car,0.91,31,1572,334,1900,500,4,0.06,206,105,303,129,4
1245,car,0.90,31,1562,334,1877,495,25,0.36,196,102,291,125,25
1246,car,0.88,31,1551,335,1855,490,Z,0.94,184,98,280,120,Z
1250,car,0.87,31,1514,334,1773,474,DOX,0.01,158,88,232,107,DOX
1251,car,0.87,31,1507,335,1755,470,XO,0.07,150,84,231,102,XO
1257,car,0.87,31,1469,331,1672,450,07Z,0.09,115,77,173,93,07Z
1258,car,0.87,31,1464,331,1659,447,LKS,0.03,108,75,167,90,LKS
1260,car,0.89,31,1452,327,1639,442,FSD,0.11,104,75,157,88,FSD
1261,car,0.78,29,1068,311,1183,390,0SE,0.03,30,50,63,58,0SE
1261,car,0.89,31,1447,328,1627,439,ITGZ,0.07,100,72,151,85,ITGZ
1264,car,0.86,29,1056,307,1186,395,Q54,0.05,37,56,67,65,Q54
1264,car,0.87,31,1434,326,1597,430,005,0.09,82,69,133,80,005
1265,car,0.84,29,1052,309,1178,397,469,0.25,29,54,67,63,469
1265,car,0.86,31,1429,328,1588,429,I,0.86,87,64,132,77,I
1266,car,0.82,29,1049,309,1174,398,1514,0.56,28,56,67,65,1514
1266,car,0.88,31,1430,329,1580,427,LAEJ2,0.01,79,62,125,74,LAEJ2
1267,car,0.86,29,1045,310,1172,400,4GX,0.05,30,56,68,64,4GX
1267,car,0.87,31,1432,330,1573,425,C4C,0.05,69,60,115,71,C4C
1268,car,0.87,29,1041,310,1171,400,0555,0.06,33,56,68,66,0555
1269,car,0.86,29,1035,309,1170,402,10077,0.17,35,59,70,68,10077
1271,car,0.85,29,1025,309,1165,404,55365,0.04,36,60,73,70,55365
1272,car,0.87,29,1020,309,1161,406,USD,0.03,34,61,74,72,USD
1273,car,0.86,29,1015,309,1160,407,DO155Z7,0.09,36,63,74,73,DO155Z7
1274,car,0.87,29,1009,310,1158,410,48,0.06,36,63,76,74,48
1275,car,0.87,29,1002,310,1155,412,IEVS,0.05,38,63,78,75,IEVS
1276,car,0.90,29,995,310,1152,414,Q,0.04,39,65,80,77,Q
1277,car,0.85,29,989,309,1149,418,020,0.44,39,67,81,79,020
1278,car,0.85,29,982,308,1145,420,IOIICF,0.13,37,70,82,80,IOIICF
1279,car,0.87,29,974,308,1142,422,07013,0.11,36,70,84,82,07013
1280,car,0.85,29,967,307,1139,424,1Q0,0.12,34,73,85,85,1Q0
1281,car,0.86,29,959,306,1136,426,1QW,0.32,39,75,87,88,1QW
1282,car,0.87,29,952,306,1134,428,11,0.17,42,76,87,91,11
1283,car,0.89,29,942,304,1132,430,0E,0.03,41,80,90,94,0E
1284,car,0.89,29,933,304,1129,433,ED,0.13,43,83,92,98,ED
1285,car,0.89,29,924,303,1128,437,01O,0.05,42,86,93,101,01O
1286,car,0.87,29,914,303,1122,441,LOEE1,0.07,41,87,95,103,LOEE1
1287,car,0.86,29,902,302,1118,444,067243,0.27,45,90,99,106,067243
1288,car,0.88,29,892,302,1111,450,L67422,0.06,43,92,100,109,L67422
1289,car,0.87,29,880,302,1107,453,02175,0.25,45,96,102,113,02175
1290,car,0.87,29,867,302,1101,456,H574323E,0.12,46,99,104,115,H574323E
1291,car,0.88,29,852,301,1095,459,06,0.28,47,102,108,120,06
1292,car,0.90,29,839,301,1090,465,4671522,0.29,46,105,110,123,4671522
1293,car,0.92,29,822,301,1086,471,LE43,0.10,51,107,115,127,LE43
1294,car,0.91,29,805,301,1079,477,0E7EE31,0.18,51,111,119,131,0E7EE31
1295,car,0.89,29,789,301,1073,482,171320,0.04,51,115,121,135,171320
1296,car,0.90,29,771,300,1067,488,0713221,0.17,54,119,123,140,0713221
1297,car,0.91,29,751,299,1060,494,827322,0.08,53,124,127,147,827322
1298,car,0.91,29,731,298,1052,500,L3712E3,0.23,52,131,130,153,L3712E3
1299,car,0.91,29,706,298,1044,508,4671222,0.40,55,137,135,162,4671222
1300,car,0.94,29,681,297,1035,516,467126,0.31,57,143,139,167,467126
1301,car,0.93,29,654,296,1026,525,43712223,0.11,55,151,144,175,43712223
1302,car,0.94,29,622,295,1017,534,43713,0.13,58,158,149,183,43713
1314,car,0.76,32,1070,310,1173,386,EC,0.01,32,49,61,58,EC
1315,car,0.72,32,1068,310,1172,386,443,0.17,32,50,61,59,443
1321,car,0.76,32,1049,310,1168,395,FE,0.07,34,54,65,64,FE
1322,car,0.79,32,1046,309,1165,395,I4E,0.02,33,56,65,66,I4E
1323,car,0.80,32,1042,308,1165,397,1174,0.02,35,57,66,69,1174
1324,car,0.81,32,1037,308,1163,398,04,0.05,36,58,69,69,04
1325,car,0.82,32,1033,308,1161,400,L4,0.43,35,59,70,71,L4
1326,car,0.83,32,1028,308,1159,402,V,0.12,36,60,71,72,V
1327,car,0.84,32,1023,308,1159,404,9,0.38,36,61,72,73,9
1328,car,0.84,32,1019,309,1159,405,155,0.16,38,61,73,72,155
